,names,pca1,pca2
0,jNLU,1.6920847300933415,2.7524934816583957
1,9cNz,-2.6983218624668086,-2.0750861929656703
2,j3E6,-0.2476137218361285,1.2087086042419233
3,ynV9,-0.8482683276428377,1.3492001732910943
4,gTPD,-1.987635895287233,0.11989438301665378
5,ZLuf,-0.5747134450268521,1.153230451221465
6,oSx5,-1.459149455458583,2.146842814227359
7,iVFh,-0.8774351073634811,-0.47499713472980554
8,l9Xh,1.621079954450643,0.24170658901956127
9,uZKa,-0.8678816306747128,2.3485027163979955
10,H3AN,0.2795083251111086,-0.14234459667750002
11,SGKE,-1.0638601140327884,-0.5127056205933903
12,i8Ac,0.27611074694929977,0.1032148392133798
13,sVM5,2.746005562806362,-0.3058561158508276
14,QM8a,1.2766428025404155,-0.44670320482735426
15,GjsS,1.7737153526053555,-2.2244535606790707
16,XUdc,-0.5435488885087142,-1.9916684628926604
17,WkIl,0.8619983966452119,-1.477464918080281
18,C1ID,1.0673968349066458,-1.6169968739954097
19,zHYQ,-1.9352946765545032,-1.0078915000479851
20,CRAD,1.7251043110050934,-0.10625632689539607
21,mtdF,-2.057416745927484,-0.2567672194498324
22,rU05,-0.12125107404660122,-0.09532324457478243
23,dadY,1.1838998025724157,1.6840328329494187
24,9KYn,0.01060862640677715,1.089141078939292
25,AnSN,0.7682354987340565,-1.462452991916573
27,all4,4.757452599821399,-3.9036866584679997
28,all4,4.757452599821399,-3.9036866584679997
29,all3,2.40831150527261,-1.1105935978012298
30,all2,0.05917041072382108,1.6824994628655392
31,all1,-2.2899706838249676,4.475592523532308
32,all0,-4.639111778373756,7.268685584199076
